ORGID,PARENT,OKFS,INN,OKPO,OKONH,SOOGU,OKOPF,KODREG,REGDATE,REGNUM,ORGNAME,ORGSNAME,COMMENT,FIZADDR,URADDR,POSTADDR,PHONE,FAX,EMAIL,WWW,MYORG,CONFDATE,MAINOKONH,OKBV,OCCUPATION,FIRST_DATE,LAST_DATE,OUT_REASON,OUT_DATE,SBM_ID,KODTERR,EXT_ID,HAS_BRON,F6_SHIFR,REGPL_ID,CHK_DATE,OKATO2,OKATO3,Feature1,Feature2,Feature3,OVK_ID,KODOKTMO,KODOKTMO2,REGPLACE,COMPUTERS,SOFTWARENUM,SOFTWARE,KPIS,COMPUTERSS,SOFTWARENUMS,KPISS,Kopf_Changed,Okved_Changed,SBM,OVK_NAME
19,,16,7705460038,50060038,,,,45286552000,2000-04-13,000.006.0038,ЧП-0038,ЧП-0038,,"ул. Гагарина, д. 49, к. 3","ул. Гагарина, д. 49, к. 3","ул. Гагарина, д. 49, к. 3",,,,,,2003-01-07,84000,60038-A1,коммерция,2000-08-16,2003-01-07,,,4,45286552000,19,0,01,1,2003-04-20,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
20,,42,7705410041,50010041,"14001,14010,14050",,12247,45286552000,2000-07-12,000.001.0041,"ЗАВОД № 0041","ЗАВОД № 0041",,"пр-т Горького, д. 1, к. 3","пр-т Горького, д. 1, к. 3","пр-т Горького, д. 1, к. 3",111-1000,111-2000,,,,2003-04-03,14001,10041-A1,,2000-04-18,2003-04-03,,,1,45286552000,20,0,01,1,2003-09-18,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
21,,14,7705450046,50050046,"82000,82205",,,45286552000,2000-09-18,000.005.0046,ГУП-0046,ГУП-0046,,"пл. Победы, д. 70, к. 3","пл. Победы, д. 70, к. 3","пл. Победы, д. 70, к. 3",,,,,,2003-07-22,82000,50046-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-01-12,2003-07-22,,,4,45286552000,21,0,03,1,2004-07-06,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
22,,16,7705430046,50030046,"71200,71201",,12247,45286552000,2000-05-28,000.003.0046,"УНИВЕРСАМ № 0046","УНИВЕРСАМ № 0046",,"пр-т Горького, д. 38, к. 2","пр-т Горького, д. 38, к. 2","пр-т Горького, д. 38, к. 2",,,,,,2003-06-26,71200,30046-A1,"реализация товаров массового спроса",2000-03-17,2003-06-26,,,4,45286552000,22,0,01,4,2003-08-25,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
23,,12,7705420050,50020050,"91510,91511,91515,10.15.15",,12247,45286552000,2000-02-25,000.002.0050,"АПТЕКА № 0050","АПТЕКА № 0050",,"ул. Гвоздева, д. 51","ул. Гвоздева, д. 51","ул. Гвоздева, д. 51",,,,,,2003-02-25,91510,20050-B,"торговля фармпрепаратами",2000-07-15,2003-02-25,,,1,45286552000,23,1,01,1,2003-05-22,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
24,,42,7705410046,50010046,"14001,14010,14050",,12247,45286552000,2000-02-20,000.001.0046,"ЗАВОД № 0046","ЗАВОД № 0046",,"ул. Советская, д. 65, к. 3","ул. Советская, д. 65, к. 3","ул. Советская, д. 65, к. 3",111-1000,111-2000,,,,2002-10-10,14001,10046-A1,,2000-07-16,2003-10-10,,,1,45286552000,24,0,01,1,2004-01-08,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
25,,16,7705460043,50060043,,,,45286552000,2000-08-11,000.006.0043,ЧП-0043,ЧП-0043,,"ул. Гагарина, д. 52","ул. Гагарина, д. 52","ул. Гагарина, д. 52",,,,,,2003-01-29,84000,60043-A1,коммерция,2000-01-20,2003-01-29,,,4,45286552000,25,0,01,1,2003-09-30,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
26,,12,7705420052,50020052,"91510,91511,91515,10.15.15",,12247,45286552000,2000-03-27,000.002.0052,"АПТЕКА № 0052","АПТЕКА № 0052",,"ул. Новый Арбат, д. 10, к. 5","ул. Новый Арбат, д. 10, к. 5","ул. Новый Арбат, д. 10, к. 5",,,,,,2003-02-16,91510,20052-B,"торговля фармпрепаратами",2000-01-01,2003-02-16,,,1,45286552000,26,1,01,1,2004-02-01,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
27,,42,7705410053,50010053,"14001,14010,14050",,12247,45286552000,2000-06-15,000.001.0053,"ЗАВОД № 0053","ЗАВОД № 0053",,"ул. Новаторов, д. 99, к. 4","ул. Новаторов, д. 99, к. 4","ул. Новаторов, д. 99, к. 4",111-1000,111-2000,,,,2002-12-17,14001,10053-A1,,2000-09-09,2003-12-17,,,1,45286552000,27,0,01,1,2003-12-19,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
28,,14,7705450057,50050057,"82000,82205",,,45286552000,2000-02-20,000.005.0057,ГУП-0057,ГУП-0057,,"2-й пер. Призывников, д. 63, к. 3","2-й пер. Призывников, д. 63, к. 3","2-й пер. Призывников, д. 63, к. 3",,,,,,2003-06-17,82000,50057-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-07-22,2003-06-17,,,4,45286552000,28,0,03,1,2004-01-27,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
29,,42,7705410055,50010055,"14001,14010,14050",,12247,45286552000,2000-03-29,000.001.0055,"ЗАВОД № 0055","ЗАВОД № 0055",,"ул. Островитянова, д. 50","ул. Островитянова, д. 50","ул. Островитянова, д. 50",111-1000,111-2000,,,,2002-10-30,14001,10055-A1,,2000-03-19,2003-10-30,,,1,45286552000,29,0,01,1,2004-05-18,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
30,,16,7705460050,50060050,,,,45286552000,2000-09-19,000.006.0050,ЧП-0050,ЧП-0050,,"Новоясеневский пр-т, д. 49","Новоясеневский пр-т, д. 49","Новоясеневский пр-т, д. 49",,,,,,2003-06-24,84000,60050-A1,коммерция,2000-10-13,2003-06-24,,,4,45286552000,30,0,01,1,2003-11-19,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
31,,42,7705410058,50010058,"14001,14010,14050",,12247,45286552000,2000-05-01,000.001.0058,"ЗАВОД № 0058","ЗАВОД № 0058",,"ул. Советская, д. 48","ул. Советская, д. 48","ул. Советская, д. 48",111-1000,111-2000,,,,2003-04-25,14001,10058-A1,,2000-02-02,2003-04-25,,,1,45286552000,31,0,01,1,2003-05-30,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
32,,16,7705460053,50060053,,,,45286552000,2000-01-30,000.006.0053,ЧП-0053,ЧП-0053,,"ул. Советская, д. 40","ул. Советская, д. 40","ул. Советская, д. 40",,,,,,2002-10-08,84000,60053-A1,коммерция,2000-09-24,2003-10-08,,,4,45286552000,32,0,01,1,2004-02-17,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
33,,16,7705430061,50030061,"71200,71201",,12247,45286552000,2000-08-23,000.003.0061,"УНИВЕРСАМ № 0061","УНИВЕРСАМ № 0061",,"ул. Теплый Стан, д. 30","ул. Теплый Стан, д. 30","ул. Теплый Стан, д. 30",,,,,,2002-10-05,71200,30061-A1,"реализация товаров массового спроса",2000-08-13,2003-10-05,,,4,45286552000,33,0,01,4,2004-07-09,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
34,,16,7705460055,50060055,,,,45286552000,2000-07-21,000.006.0055,ЧП-0055,ЧП-0055,,"2-я Грузинская улица, д. 41","2-я Грузинская улица, д. 41","2-я Грузинская улица, д. 41",,,,,,2002-12-22,84000,60055-A1,коммерция,2000-04-29,2003-12-22,,,4,45286552000,34,0,01,1,2004-05-12,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
35,,42,7705410062,50010062,"14001,14010,14050",,12247,45286552000,2000-02-08,000.001.0062,"ЗАВОД № 0062","ЗАВОД № 0062",,"ул. Гвоздева, д. 44","ул. Гвоздева, д. 44","ул. Гвоздева, д. 44",111-1000,111-2000,,,,2003-02-26,14001,10062-A1,,2000-03-30,2003-02-26,,,1,45286552000,35,0,01,1,2003-10-02,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
36,,14,7705450063,50050063,"82000,82205",,,45286552000,2000-07-14,000.005.0063,ГУП-0063,ГУП-0063,,"ул. Ленина, д. 29","ул. Ленина, д. 29","ул. Ленина, д. 29",,,,,,2002-12-08,82000,50063-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-04-10,2003-12-08,,,4,45286552000,36,0,03,1,2004-10-21,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
37,,42,7705410066,50010066,"14001,14010,14050",,12247,45286552000,2000-01-19,000.001.0066,"ЗАВОД № 0066","ЗАВОД № 0066",,"2-й пер. Призывников, д. 2, к. 5","2-й пер. Призывников, д. 2, к. 5","2-й пер. Призывников, д. 2, к. 5",111-1000,111-2000,,,,2002-10-21,14001,10066-A1,,2000-11-29,2003-10-21,,,1,45286552000,37,0,01,1,2004-09-21,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
38,,14,7705450067,50050067,"82000,82205",,,45286552000,2000-07-07,000.005.0067,ГУП-0067,ГУП-0067,,"2-й пер. Призывников, д. 73","2-й пер. Призывников, д. 73","2-й пер. Призывников, д. 73",,,,,,2002-11-17,82000,50067-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-12-18,2003-11-17,,,4,45286552000,38,0,03,1,2004-04-27,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
39,,42,7705410068,50010068,"14001,14010,14050",,12247,45286552000,2000-03-17,000.001.0068,"ЗАВОД № 0068","ЗАВОД № 0068",,"ул. Советская, д. 20","ул. Советская, д. 20","ул. Советская, д. 20",111-1000,111-2000,,,,2002-10-17,14001,10068-A1,,2000-12-10,2003-10-17,,,1,45286552000,39,0,01,1,2004-07-23,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
40,,42,7705410071,50010071,"14001,14010,14050",,12247,45286552000,2000-02-03,000.001.0071,"ЗАВОД № 0071","ЗАВОД № 0071",,"ул. Островитянова, д. 92","ул. Островитянова, д. 92","ул. Островитянова, д. 92",111-1000,111-2000,,,,2002-11-08,14001,10071-A1,,2000-04-05,2003-11-08,,,1,45286552000,40,0,01,1,2004-08-13,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
41,,14,7705440060,50040060,,,75000,45286552000,2000-03-03,000.004.0060,"ШКОЛА № 0060","ШКОЛА № 0060",,"ул. Ленина, д. 37, к. 3","ул. Ленина, д. 37, к. 3","ул. Ленина, д. 37, к. 3",,,,,,2003-01-29,92100,40060-A1,образование,2000-09-28,2003-01-29,,,4,45286552000,41,0,01,1,2003-03-30,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
42,,42,7705410072,50010072,"14001,14010,14050",,12247,45286552000,2000-11-19,000.001.0072,"ЗАВОД № 0072","ЗАВОД № 0072",,"пр-т Горького, д. 8","пр-т Горького, д. 8","пр-т Горького, д. 8",111-1000,111-2000,,,,2003-03-18,14001,10072-A1,,2000-12-12,2003-03-18,,,1,45286552000,42,0,01,1,2003-09-14,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
43,,16,7705430066,50030066,"71200,71201",,12247,45286552000,2000-12-17,000.003.0066,"УНИВЕРСАМ № 0066","УНИВЕРСАМ № 0066",,"Новоясеневский пр-т, д. 11, к. 3","Новоясеневский пр-т, д. 11, к. 3","Новоясеневский пр-т, д. 11, к. 3",,,,,,2002-09-02,71200,30066-A1,"реализация товаров массового спроса",2000-11-29,2003-09-02,,,4,45286552000,43,0,01,4,2004-05-19,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
44,,12,7705420066,50020066,"91510,91511,91515,10.15.15",,12247,45286552000,2000-09-20,000.002.0066,"АПТЕКА № 0066","АПТЕКА № 0066",,"ул. Островитянова, д. 90","ул. Островитянова, д. 90","ул. Островитянова, д. 90",,,,,,2003-04-29,91510,20066-B,"торговля фармпрепаратами",2000-06-21,2003-04-29,,,1,45286552000,44,1,01,1,2003-11-04,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
45,,16,7705430069,50030069,"71200,71201",,12247,45286552000,2000-02-10,000.003.0069,"УНИВЕРСАМ № 0069","УНИВЕРСАМ № 0069",,"пер. Маяковского, д. 90","пер. Маяковского, д. 90","пер. Маяковского, д. 90",,,,,,2003-07-05,71200,30069-A1,"реализация товаров массового спроса",2000-05-08,2003-07-05,,,4,45286552000,45,0,01,4,2004-02-19,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
46,,12,7705420067,50020067,"91510,91511,91515,10.15.15",,12247,45286552000,2000-07-23,000.002.0067,"АПТЕКА № 0067","АПТЕКА № 0067",,"ул. Советская, д. 66, к. 1","ул. Советская, д. 66, к. 1","ул. Советская, д. 66, к. 1",,,,,,2003-03-13,91510,20067-B,"торговля фармпрепаратами",2000-06-10,2003-03-13,,,1,45286552000,46,1,01,1,2003-03-25,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
47,,16,7705430078,50030078,"71200,71201",,12247,45286552000,2000-04-29,000.003.0078,"УНИВЕРСАМ № 0078","УНИВЕРСАМ № 0078",,"пер. Маяковского, д. 99, к. 5","пер. Маяковского, д. 99, к. 5","пер. Маяковского, д. 99, к. 5",,,,,,2003-05-14,71200,30078-A1,"реализация товаров массового спроса",2000-11-06,2003-05-14,,,4,45286552000,47,0,01,4,2003-09-26,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
48,,14,7705450083,50050083,"82000,82205",,,45286552000,2000-06-16,000.005.0083,ГУП-0083,ГУП-0083,,"ул. Теплый Стан, д. 66, к. 2","ул. Теплый Стан, д. 66, к. 2","ул. Теплый Стан, д. 66, к. 2",,,,,,2002-10-14,82000,50083-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-02-21,2003-10-14,,,4,45286552000,48,0,03,1,2004-08-15,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
49,,14,7705440069,50040069,,,75000,45286552000,2000-08-29,000.004.0069,"ШКОЛА № 0069","ШКОЛА № 0069",,"Столичный бульвар, д. 34, к. 2","Столичный бульвар, д. 34, к. 2","Столичный бульвар, д. 34, к. 2",,,,,,2002-10-01,92100,40069-A1,образование,2000-03-06,2003-10-01,,,4,45286552000,49,0,01,1,2004-06-02,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
50,,16,7705430084,50030084,"71200,71201",,12247,45286552000,2000-02-04,000.003.0084,"УНИВЕРСАМ № 0084","УНИВЕРСАМ № 0084",,"пл. Победы, д. 99","пл. Победы, д. 99","пл. Победы, д. 99",,,,,,2003-07-10,71200,30084-A1,"реализация товаров массового спроса",2000-07-21,2003-07-10,,,4,45286552000,50,0,01,4,2004-06-25,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
51,,14,7705440072,50040072,,,75000,45286552000,2000-10-01,000.004.0072,"ШКОЛА № 0072","ШКОЛА № 0072",,"ул. Гагарина, д. 26, к. 2","ул. Гагарина, д. 26, к. 2","ул. Гагарина, д. 26, к. 2",,,,,,2003-05-17,92100,40072-A1,образование,2000-04-17,2003-05-17,,,4,45286552000,51,0,01,1,2004-03-01,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
52,,12,7705420081,50020081,"91510,91511,91515,10.15.15",,12247,45286552000,2000-04-20,000.002.0081,"АПТЕКА № 0081","АПТЕКА № 0081",,"пр-т Мира, д. 88","пр-т Мира, д. 88","пр-т Мира, д. 88",,,,,,2003-02-12,91510,20081-B,"торговля фармпрепаратами",2000-01-24,2003-02-12,,,1,45286552000,52,1,01,1,2003-06-26,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
53,,12,7705420087,50020087,"91510,91511,91515,10.15.15",,12247,45286552000,2000-12-18,000.002.0087,"АПТЕКА № 0087","АПТЕКА № 0087",,"Новоясеневский пр-т, д. 7","Новоясеневский пр-т, д. 7","Новоясеневский пр-т, д. 7",,,,,,2003-06-02,91510,20087-B,"торговля фармпрепаратами",2000-04-30,2003-06-02,,,1,45286552000,53,1,01,1,2003-12-14,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
54,,16,7705430095,50030095,"71200,71201",,12247,45286552000,2000-07-08,000.003.0095,"УНИВЕРСАМ № 0095","УНИВЕРСАМ № 0095",,"ул. Гвоздева, д. 57","ул. Гвоздева, д. 57","ул. Гвоздева, д. 57",,,,,,2002-10-11,71200,30095-A1,"реализация товаров массового спроса",2000-05-06,2003-10-11,,,4,45286552000,54,0,01,4,2004-08-26,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
55,,14,7705440084,50040084,,,75000,45286552000,2000-09-20,000.004.0084,"ШКОЛА № 0084","ШКОЛА № 0084",,"ул. Ленина, д. 85","ул. Ленина, д. 85","ул. Ленина, д. 85",,,,,,2003-04-15,92100,40084-A1,образование,2000-08-29,2003-04-15,,,4,45286552000,55,0,01,1,2003-11-06,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
56,,14,7705450096,50050096,"82000,82205",,,45286552000,2000-05-20,000.005.0096,ГУП-0096,ГУП-0096,,"пр-т Горького, д. 77","пр-т Горького, д. 77","пр-т Горького, д. 77",,,,,,2002-09-04,82000,50096-A1,"обеспечение информационной поддержкой муниципальных структур города",2000-05-24,2003-09-04,,,4,45286552000,56,0,03,1,2004-01-02,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
57,,42,7705410093,50010093,"14001,14010,14050",,12247,45286552000,2000-01-09,000.001.0093,"ЗАВОД № 0093","ЗАВОД № 0093",,"пер. Маяковского, д. 49","пер. Маяковского, д. 49","пер. Маяковского, д. 49",111-1000,111-2000,,,,2003-04-23,14001,10093-A1,,2000-02-01,2003-04-23,,,1,45286552000,57,0,01,1,2004-03-27,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
58,,16,7705430097,50030097,"71200,71201",,12247,45286552000,2000-11-09,000.003.0097,"УНИВЕРСАМ № 0097","УНИВЕРСАМ № 0097",,"ул. Теплый Стан, д. 79","ул. Теплый Стан, д. 79","ул. Теплый Стан, д. 79",,,,,,2003-05-27,71200,30097-A1,"реализация товаров массового спроса",2000-09-07,2003-05-27,,,4,45286552000,58,0,01,4,2004-03-28,45286552000,45286552000,,,,,,,"ЦБ РФ",,,,,,,,,1,,
59,,16,7705460094,50060094,,,,45286552000,2000-02-26,000.006.0094,ЧП-0094,ЧП-0094,,"2-я Грузинская улица, д. 52, к. 5","2-я Грузинская улица, д. 52, к. 5","2-я Грузинская улица, д. 52, к. 5",,,,,,2003-03-03,84000,60094-A1,коммерция,2000-07-02,2003-03-03,,,4,45286552000,59,0,01,1,2003-04-03,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
60,,16,7705460096,50060096,,,,45286552000,2000-09-11,000.006.0096,ЧП-0096,ЧП-0096,,"Яблоневая аллея, д. 19","Яблоневая аллея, д. 19","Яблоневая аллея, д. 19",,,,,,2003-07-28,84000,60096-A1,коммерция,2000-06-26,2003-07-28,,,4,45286552000,60,0,01,1,2004-02-08,45286552000,45286552000,,,,,,,МРП,,,,,,,,,1,,
